uf,uf_code,state_name,year_month,consumption_index,year,month,date,quarter,mp_shock_monthly,share_PH2M,share_WH2M,share_Ricardian,total_weight
AC,12,Acre,2015.01,88.35568,2015,1,2015-01-01,1,0.092851242,0.2399081742637751,0.2651677659928296,0.4949240597433954,550774.59705762
AL,27,Alagoas,2015.01,103.87105,2015,1,2015-01-01,1,0.092851242,0.2269058851390033,0.2495056013785203,0.5235885134824763,2324789.26190194
AM,13,Amazonas,2015.01,89.21043,2015,1,2015-01-01,1,0.092851242,0.2320971779308123,0.2821158657392083,0.4857869563299793,2541129.66775699
AP,16,Amapá,2015.01,106.81136,2015,1,2015-01-01,1,0.092851242,0.256403593678851,0.2737196304639843,0.4698767758571646,502586.84308651
BA,29,Bahia,2015.01,127.89795,2015,1,2015-01-01,1,0.092851242,0.2380076613898153,0.2569066882092218,0.505085650400963,10915837.5612861
CE,23,Ceará,2015.01,121.29754,2015,1,2015-01-01,1,0.092851242,0.2393210218326425,0.2506482072451355,0.5100307709222219,6644202.77848762
DF,53,Distrito Federal,2015.01,135.9195,2015,1,2015-01-01,1,0.092851242,0.2119842516600311,0.1932566798259364,0.5947590685140324,2174723.59846423
ES,32,Espírito Santo,2015.01,91.5036,2015,1,2015-01-01,1,0.092851242,0.196967989143513,0.253871559942159,0.5491604509143279,2962007.04792713
GO,52,Goiás,2015.01,132.86612,2015,1,2015-01-01,1,0.092851242,0.2169194772230825,0.232350644862535,0.5507298779143824,5048050.93536164
MA,21,Maranhão,2015.01,93.35053,2015,1,2015-01-01,1,0.092851242,0.2519937847579988,0.2644126949106787,0.4835935203313226,4760669.723901
MG,31,Minas Gerais,2015.01,90.2087,2015,1,2015-01-01,1,0.092851242,0.1925695431371929,0.2696416118606,0.537788845002207,16079530.26155342
MS,50,Mato Grosso do Sul,2015.01,91.23748,2015,1,2015-01-01,1,0.092851242,0.2125175087148345,0.2354737987997403,0.5520086924854251,1939589.21203459
MT,51,Mato Grosso,2015.01,92.23264,2015,1,2015-01-01,1,0.092851242,0.2141501143056201,0.2347730710717175,0.5510768146226623,2455876.2974556
PA,15,Pará,2015.01,85.3605,2015,1,2015-01-01,1,0.092851242,0.2387293313639827,0.2878346015318329,0.4734360671041842,5663170.78875701
PB,25,Paraíba,2015.01,97.74181,2015,1,2015-01-01,1,0.092851242,0.2310130224528727,0.2628515669348486,0.5061354106122786,2918037.72099302
PE,26,Pernambuco,2015.01,115.83733,2015,1,2015-01-01,1,0.092851242,0.2362009288111368,0.2386100062792761,0.525189064909587,6997086.44387407
